,benchmark,base,greedy1_ln,greedy2_ln,beam2dfs_ln,beam4dfs_ln,beam2bfs_ln,beam4bfs_ln,random_ln,loop_tune_ln,benchmark,base,greedy1_ln,greedy2_ln,beam2dfs_ln,beam4dfs_ln,beam2bfs_ln,beam4bfs_ln,random_ln,loop_tune_ln,benchmark,base,greedy1_ln,greedy2_ln,beam2dfs_ln,beam4dfs_ln,beam2bfs_ln,beam4bfs_ln,random_ln,loop_tune_ln
0,mm128_208_144,[15.29150676727295],"[15.291506792491964, 18.800323648400145, 19.365549847706504]","[15.291506792491964, 18.800323648400145, 19.365549847706504]","[15.291506792491964, 18.800323648400145, 19.051020788455663]","[15.291506792491964, 12.543390670625476, 12.543390670625476, 15.291506792491964, 15.291506792491964, 12.543390670625476, 15.291506792491964, 12.543390670625476, 14.880728461141365, 19.739149238515953, 19.8165888756222]","[15.291506792491964, 18.800323648400145, 19.051020788455663]","[15.291506792491964, 18.800323648400145, 17.85763659229587, 17.85763659229587, 17.85763659229587, 26.44102443852093]","[15.291506792491964, 15.291506792491964, 15.291506792491964, 16.412511478273156, 16.412511478273156, 16.412511478273156, 15.637764539608796, 16.03550194386527, 16.03550194386527, 40.19454302413965]","[15.29150676727295, 15.29150676727295, 17.491296768188477, 17.491296768188477, 19.136747360229492, 19.136747360229492, 19.19721221923828, 21.01595115661621, 76.08517456054688, 81.16213989257812, 76.5294189453125]",mm128_208_144,[0.12097930908203125],"[nan, 0.4772346019744873, 0.8234400749206543, 0.939070463180542]","[nan, 1.0441114902496338, 1.0443451404571533]","[nan, 3.277284622192383, 3.719799280166626, 3.9287803173065186, 4.032506704330444, 4.084123134613037, 4.110655784606934, 4.1231911182403564, 4.1300132274627686, 4.132950305938721, 4.134970188140869]","[nan, 10.161042213439941, 10.161042213439941, 10.161042213439941, 10.161042213439941, 10.161042213439941, 10.161042213439941, 10.161042213439941, 10.161042213439941, 10.161042213439941, 10.161042213439941]","[nan, 0.0057599544525146484, 0.013046741485595703, 0.02105116844177246, 0.02541828155517578, 0.02806401252746582, 0.030075550079345703]","[nan, 0.014324426651000977, 0.6245992183685303, 3.3638129234313965, 10.537818670272827, 10.537818670272827]","[nan, 9.971252202987671, 9.972092866897583, 9.972780466079712, 9.973878622055054, 10.08863377571106, 10.08863377571106, 10.08863377571106, 10.08863377571106, 10.08863377571106, 10.08863377571106]","[nan, 0.01619696617126465, 0.03680133819580078, 0.0566096305847168, 0.0768136978149414, 0.09735417366027832, 0.23198652267456055, 0.36681437492370605, 0.5114181041717529, 0.6555416584014893, 0.8065509796142578]",mm128_208_144,[],"['', 'split_8', 'split_4']","['', 'split_8', 'split_4']","['', 'split_8', 'split_8']","['', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'swap_up', 'swap_down', 'split_8', 'swap_up', 'split_8']","['', 'split_8', 'split_8']","['', 'split_8', 'split_16', 'swap_down', 'swap_down', 'swap_down']","['', 'down', 'down', 'split_16', 'down', 'swap_up', 'split_8', 'swap_up', 'down', 'swap_down']","['', 'split_4', 'swap_down', 'swap_down', 'down', 'split_16', 'swap_up', 'swap_up', 'swap_up', 'split_8', 'swap_up']"
0,mm176_256_96,[17.264799118041992],"[17.26479903724681, 19.023596004732394]","[17.26479903724681, 19.023596004732394]","[17.26479903724681, 19.023596004732394]","[17.26479903724681, 13.64286863296146, 13.64286863296146, 17.26479903724681, 17.26479903724681, 13.64286863296146, 17.26479903724681, 13.64286863296146, 14.18423473277749, 14.18423473277749, 32.85873491573322]","[17.26479903724681, 19.023596004732394]","[17.26479903724681, 13.64286863296146, 14.18423473277749, 32.85873491573322]","[17.26479903724681, 17.26479903724681, 17.6351253004336, 17.6351253004336, 23.889119935049333, 23.889119935049333, 23.889119935049333, 23.889119935049333, 29.089206992908235]","[17.264799118041992, 17.264799118041992, 17.357986450195312, 17.357986450195312, 19.338592529296875, 19.338592529296875, 19.080577850341797, 20.091581344604492, 59.56300354003906, 59.56300354003906, 61.225189208984375]",mm176_256_96,[0.11350488662719727],"[nan, 0.45961499214172363, 0.6944937705993652]","[nan, 1.0720956325531006, 1.0720956325531006]","[nan, 3.2399871349334717, 3.6793220043182373, 3.8872880935668945, 3.990164041519165, 4.041731119155884, 4.067694187164307, 4.079939842224121, 4.086777687072754, 4.089412450790405, 4.09139609336853]","[nan, 10.311825275421143, 10.311825275421143, 10.311825275421143, 10.311825275421143, 10.311825275421143, 10.311825275421143, 10.311825275421143, 10.311825275421143, 10.311825275421143, 10.311825275421143]","[nan, 0.005912065505981445, 0.012976884841918945, 0.020368337631225586, 0.024838924407958984, 0.02732086181640625, 0.029277563095092773]","[nan, 0.015007734298706055, 0.7419164180755615, 3.035759210586548, 10.292113065719604, 10.292113065719604]","[nan, 9.899636030197144, 9.900472164154053, 9.901368379592896, 9.901822566986084, 9.902782917022705, 10.018814086914062, 10.018814086914062, 10.018814086914062, 10.018814086914062, 10.018814086914062]","[nan, 0.01745152473449707, 0.03795456886291504, 0.057630062103271484, 0.07807660102844238, 0.09832286834716797, 0.23039460182189941, 0.3640625476837158, 0.5045304298400879, 0.5261781215667725, 0.6693370342254639]",mm176_256_96,[],"['', 'split_8']","['', 'split_8']","['', 'split_8']","['', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'swap_up', 'swap_down', 'split_8', 'up', 'swap_down']","['', 'split_8']","['', 'swap_down', 'split_8', 'swap_up']","['', 'down', 'split_8', 'swap_down', 'split_8', 'swap_down', 'swap_up', 'swap_up', 'swap_up']","['', 'split_4', 'swap_down', 'swap_down', 'down', 'split_16', 'swap_up', 'swap_up', 'down', 'split_8', 'split_4']"
0,mm192_112_80,[30.6759033203125],"[30.675903388878485, 32.491359283812116]","[30.675903388878485, 32.491359283812116]",[30.675903388878485],"[30.675903388878485, 15.108815935079306, 15.108815935079306, 30.675903388878485, 30.675903388878485, 15.108815935079306, 15.108815935079306, 30.675903388878485, 27.04204097993445, 28.765247343471753, 32.583052388348044]",[30.675903388878485],"[30.675903388878485, 32.491359283812116]","[30.675903388878485, 32.491359283812116]","[30.6759033203125, 30.6759033203125, 30.676450729370117, 30.676450729370117, 23.14202117919922, 23.14202117919922, 14.213526725769043, 19.286314010620117, 56.39006805419922, 68.10047149658203, 68.10047149658203]",mm192_112_80,[0.11936068534851074],"[nan, 0.4709486961364746, 0.7161788940429688]","[nan, 1.3083395957946777, 1.3083395957946777]","[nan, 2.627819061279297, 3.0642714500427246, 3.2701773643493652, 3.3733065128326416, 3.4250524044036865, 3.450627326965332, 3.462832450866699, 3.469597816467285, 3.4725403785705566, 3.4745070934295654]","[nan, 10.1454176902771, 10.1454176902771, 10.1454176902771, 10.1454176902771, 10.1454176902771, 10.1454176902771, 10.1454176902771, 10.1454176902771, 10.1454176902771, 10.1454176902771]","[nan, 0.005925416946411133, 0.01316976547241211, 0.0206143856048584, 0.024895429611206055, 0.02741837501525879, 0.02931523323059082]","[nan, 0.014516592025756836, 0.42113518714904785, 2.4103879928588867, 10.423877954483032, 10.423877954483032]","[nan, 9.630674839019775, 9.63152289390564, 9.632452964782715, 9.633220195770264, 9.63424277305603, 9.760356903076172, 9.761127471923828, 9.76197600364685, 9.889193296432495, 9.890279531478882]","[nan, 0.012904882431030273, 0.03396248817443848, 0.05437874794006348, 0.07440352439880371, 0.09487295150756836, 0.22838187217712402, 0.3612661361694336, 0.5019638538360596, 0.6409025192260742, 0.6624124050140381]",mm192_112_80,[],"['', 'split_16']","['', 'split_16']",[''],"['', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'split_8', 'split_8', 'swap_up']",[''],"['', 'split_16']","['', 'split_16']","['', 'split_4', 'down', 'swap_down', 'down', 'split_16', 'swap_up', 'swap_up', 'swap_up', 'split_8', 'split_8']"
0,mm208_96_192,[41.53037643432617],"[41.53037713468632, 42.79334747181605, 42.80338063392468]","[41.53037713468632, 41.53037713468632, 44.36717122621858]","[41.53037713468632, 42.769239350516784]","[41.53037713468632, 14.297830444632986, 14.297830444632986, 41.53037713468632, 41.53037713468632, 14.297830444632986, 14.297830444632986, 41.53037713468632, 44.35331274077674, 42.851461687633076, 83.6830663116078]","[41.53037713468632, 42.769239350516784]","[41.53037713468632, 14.297830444632986, 14.297830444632986, 41.53037713468632, 44.35331274077674]","[41.53037713468632, 41.53037713468632, 44.35331274077674, 44.35331274077674, 44.35331274077674, 42.851461687633076, 83.6830663116078]","[41.53037643432617, 41.53037643432617, 41.53037643432617, 44.36717224121094, 40.36614990234375, 87.36640167236328, 87.36640167236328, 87.36640167236328, 84.94197082519531, 84.94197082519531, 84.94197082519531]",mm208_96_192,[0.12854218482971191],"[nan, 0.4993705749511719, 0.7748427391052246, 0.7757432460784912]","[nan, 1.399862289428711, 1.4000751972198486]","[nan, 2.8099136352539062, 3.2432751655578613, 3.45169734954834, 3.5555763244628906, 3.6069884300231934, 3.6337006092071533, 3.6463162899017334, 3.6530888080596924, 3.6559176445007324, 3.657824993133545]","[nan, 10.015972375869751, 10.015972375869751, 10.015972375869751, 10.015972375869751, 10.015972375869751, 10.015972375869751, 10.015972375869751, 10.015972375869751, 10.015972375869751, 10.015972375869751]","[nan, 0.005851268768310547, 0.013221979141235352, 0.021146774291992188, 0.025532245635986328, 0.028079748153686523, 0.030084609985351562]","[nan, 0.014423608779907227, 0.8628823757171631, 4.448666572570801, 10.342275142669678, 10.342275142669678]","[nan, 9.719110250473022, 9.720060110092163, 9.720820903778076, 9.721904754638672, 9.722610235214233, 9.723849058151245, 9.911016464233398, 9.912254333496094, 10.09827470779419, 10.09827470779419]","[nan, 0.012381792068481445, 0.033998727798461914, 0.056516408920288086, 0.2156233787536621, 0.3621082305908203, 0.38395214080810547, 0.4054853916168213, 0.5516037940979004, 0.5735495090484619, 0.5951049327850342]",mm208_96_192,[],"['', 'split_16', 'split_8']","['', 'down', 'split_16']","['', 'split_8']","['', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'split_8', 'split_8', 'swap_up']","['', 'split_8']","['', 'swap_down', 'up', 'swap_down', 'split_8']","['', 'down', 'split_8', 'up', 'down', 'split_8', 'swap_up']","['', 'down', 'split_16', 'split_4', 'swap_up', 'down', 'down', 'split_4', 'up', 'up', 'up']"
0,mm224_112_128,[43.64227294921875],[43.642274212947555],"[43.642274212947555, 41.084195847139945, 43.64701964701965]",[43.642274212947555],"[43.642274212947555, 14.948765932091353, 14.948765932091353, 43.642274212947555, 43.642274212947555, 14.948765932091353, 14.948765932091353, 43.642274212947555, 41.4790167788269, 41.475534546112065, 85.42526901028157]",[43.642274212947555],"[43.642274212947555, 41.084195847139945, 43.64701964701965]","[43.642274212947555, 43.642274212947555, 42.844273668481165, 42.844273668481165, 25.498971708076258, 25.498971708076258, 74.33223383447333]","[43.64227294921875, 43.64227294921875, 42.33842849731445, 42.33842849731445, 19.874818801879883, 19.874818801879883, 22.621543884277344, 30.725683212280273, 54.16837692260742, 72.01354217529297, 67.81900787353516]",mm224_112_128,[0.1240682601928711],"[nan, 0.3744957447052002]","[nan, 1.163923978805542, 1.1642205715179443]","[nan, 3.314363718032837, 3.7532076835632324, 3.96134090423584, 4.064561128616333, 4.116779804229736, 4.142561197280884, 4.1551673412323, 4.161923885345459, 4.164840221405029, 4.167044639587402]","[nan, 10.28786325454712, 10.28786325454712, 10.28786325454712, 10.28786325454712, 10.28786325454712, 10.28786325454712, 10.28786325454712, 10.28786325454712, 10.28786325454712, 10.28786325454712]","[nan, 0.005843400955200195, 0.012708902359008789, 0.020448684692382812, 0.024858713150024414, 0.02743244171142578, 0.02941608428955078]","[nan, 0.014703989028930664, 0.8173325061798096, 4.35352635383606, 10.497022151947021, 10.497022151947021]","[nan, 9.864723920822144, 9.865561246871948, 9.866382360458374, 9.867136001586914, 9.868096113204956, 9.982734203338623, 10.097403287887573, 10.097403287887573, 10.097403287887573, 10.097403287887573]","[nan, 0.011769533157348633, 0.0330808162689209, 0.05418658256530762, 0.07425880432128906, 0.09431719779968262, 0.22761249542236328, 0.36061596870422363, 0.5034699440002441, 0.6460185050964355, 0.7953264713287354]",mm224_112_128,[],[''],"['', 'split_8', 'split_4']",[''],"['', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'split_8', 'split_8', 'swap_up']",[''],"['', 'split_8', 'split_4']","['', 'down', 'split_16', 'down', 'split_8', 'up', 'swap_up']","['', 'split_4', 'down', 'swap_down', 'down', 'split_16', 'swap_up', 'swap_up', 'swap_up', 'split_4', 'split_8']"
0,mm240_144_112,[20.0169620513916],[20.016962124816413],"[20.016962124816413, 19.816615214486475, 20.672726690094958]","[20.016962124816413, 19.816615214486475, 20.029961732812755]","[20.016962124816413, 13.900327692238632, 13.900327692238632, 20.016962124816413, 20.016962124816413, 13.900327692238632, 13.900327692238632, 14.824522936394713, 14.824522936394713, 23.737646607895744]","[20.016962124816413, 19.816615214486475, 20.029961732812755]","[20.016962124816413, 13.900327692238632, 13.900327692238632, 14.824522936394713, 14.824522936394713, 23.737646607895744]","[20.016962124816413, 20.016962124816413, 20.498112088459113, 18.49099507953948, 18.49099507953948, 18.49099507953948, 18.49099507953948, 11.735909295567106, 25.207056662998102, 27.66637837992381]","[20.0169620513916, 20.0169620513916, 19.227516174316406, 19.227516174316406, 22.03435516357422, 22.03435516357422, 19.221786499023438, 28.0921573638916, 52.33602523803711, 65.03990936279297, 68.93842315673828]",mm240_144_112,[0.11359977722167969],"[nan, 0.4566175937652588]","[nan, 1.3878147602081299, 1.3881046772003174]","[nan, 3.095095157623291, 3.5297911167144775, 3.7342355251312256, 3.8367466926574707, 3.8879406452178955, 3.9140877723693848, 3.9263508319854736, 3.9330861568450928, 3.9357452392578125, 3.9377169609069824]","[nan, 10.028374671936035, 10.028374671936035, 10.028374671936035, 10.028374671936035, 10.028374671936035, 10.028374671936035, 10.028374671936035, 10.028374671936035, 10.028374671936035, 10.028374671936035]","[nan, 0.005675554275512695, 0.012767314910888672, 0.0201873779296875, 0.02492690086364746, 0.027573347091674805, 0.029503822326660156]","[nan, 0.014314413070678711, 0.2816810607910156, 2.091872215270996, 10.52938437461853, 10.52938437461853]","[nan, 9.985745429992676, 9.986613512039185, 9.987513303756714, 9.988144874572754, 9.988916873931885, 9.989570140838623, 9.990029573440552, 9.991341829299927, 9.992402076721191, 10.108734130859375]","[nan, 0.018687009811401367, 0.03910660743713379, 0.059270381927490234, 0.07902669906616211, 0.09893250465393066, 0.2316131591796875, 0.3655383586883545, 0.5077550411224365, 0.6514995098114014, 0.7992990016937256]",mm240_144_112,[],[''],"['', 'split_8', 'split_4']","['', 'split_8', 'split_8']","['', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up', 'split_16', 'swap_down', 'swap_down']","['', 'split_8', 'split_8']","['', 'swap_down', 'up', 'split_16', 'swap_down', 'swap_down']","['', 'down', 'split_4', 'split_16', 'swap_down', 'down', 'down', 'split_8', 'swap_up', 'swap_up']","['', 'split_4', 'down', 'swap_down', 'down', 'split_16', 'swap_up', 'swap_up', 'swap_up', 'split_8', 'up']"
0,mm240_80_96,[81.14461517333984],[81.14461809377065],"[81.14461809377065, 81.14461809377065, 83.95354133454795]",[81.14461809377065],"[81.14461809377065, 14.586432844797567, 14.586432844797567, 81.14461809377065, 81.14461809377065, 14.586432844797567, 14.586432844797567, 15.268263185361288, 15.268263185361288, 84.26057142857142, 84.53300924121167]",[81.14461809377065],"[81.14461809377065, 14.586432844797567, 14.586432844797567, 15.268263185361288, 15.268263185361288, 84.26057142857142]","[81.14461809377065, 81.14461809377065, 83.95354133454795, 82.33717502010185, 83.58804589361027, 83.58804589361027, 83.58804589361027, 85.74618533680686, 85.74618533680686, 85.74618533680686, 93.72282815956068]","[81.14461517333984, 81.14461517333984, 81.14461517333984, 75.14217376708984, 82.46611022949219, 82.46611022949219, 82.46611022949219, 82.46611022949219, 82.46611022949219, 82.46611022949219, 82.46611022949219]",mm240_80_96,[0.11765074729919434],"[nan, 0.34956979751586914]","[nan, 1.0915241241455078, 1.0917532444000244]","[nan, 3.4561259746551514, 3.8931612968444824, 4.100196123123169, 4.204319715499878, 4.254645347595215, 4.280706405639648, 4.293015003204346, 4.2996110916137695, 4.3025078773498535, 4.304492712020874]","[nan, 10.05666208267212, 10.05666208267212, 10.05666208267212, 10.05666208267212, 10.05666208267212, 10.05666208267212, 10.05666208267212, 10.05666208267212, 10.05666208267212, 10.05666208267212]","[nan, 0.005742073059082031, 0.012750387191772461, 0.020315885543823242, 0.024660825729370117, 0.027210474014282227, 0.029146671295166016]","[nan, 0.014367103576660156, 0.2966299057006836, 2.164776086807251, 10.367854595184326, 10.367854595184326]","[nan, 9.878688335418701, 9.879582166671753, 9.88030195236206, 9.881381750106812, 9.88258171081543, 10.004919290542603, 10.004919290542603, 10.004919290542603, 10.004919290542603, 10.004919290542603]","[nan, 0.02003312110900879, 0.0405726432800293, 0.06177926063537598, 0.08387231826782227, 0.10553503036499023, 0.1268904209136963, 0.14835166931152344, 0.17048954963684082, 0.19242501258850098, 0.21381568908691406]",mm240_80_96,[],[''],"['', 'down', 'split_4']",[''],"['', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up', 'split_16', 'swap_down', 'swap_down', 'split_8']",[''],"['', 'swap_down', 'up', 'split_16', 'swap_down', 'swap_down']","['', 'down', 'split_4', 'split_16', 'swap_up', 'down', 'down', 'split_4', 'swap_down', 'swap_down', 'split_4']","['', 'down', 'split_8', 'split_4', 'split_16', 'split_16', 'split_16', 'split_16', 'split_16', 'split_16', 'split_16']"
0,mm256_144_240,[18.250164031982422],"[18.250163733220568, 18.915164226203075, 20.696353547735118]","[18.250163733220568, 18.250163733220568, 20.360523318029617]","[18.250163733220568, 18.66519832152961, 18.99100824047859, 19.819044056208796]","[18.250163733220568, 12.454536176442643, 12.454536176442643, 18.250163733220568, 18.250163733220568, 12.454536176442643, 12.454536176442643, 13.151515737102281, 13.151515737102281, 22.628792412872336]","[18.250163733220568, 18.66519832152961, 18.99100824047859, 19.819044056208796]","[18.250163733220568, 12.454536176442643, 12.954537967024157, 21.441518076230984, 21.100008108636654, 21.897806967065524]","[18.250163733220568, 18.669530885664063, 19.004429245911215, 19.004429245911215, 19.004429245911215, 19.004429245911215, 19.004429245911215, 19.004429245911215, 19.004429245911215, 22.482218500890664]","[18.250164031982422, 18.250164031982422, 18.915164947509766, 18.915164947509766, 20.689699172973633, 20.689699172973633, 19.006776809692383, 27.66628646850586, 49.633724212646484, 49.089820861816406, 49.089820861816406]",mm256_144_240,[0.11871743202209473],"[nan, 0.4805917739868164, 0.8425850868225098, 1.084700584411621]","[nan, 1.2011101245880127, 1.2013843059539795]","[nan, 3.561065912246704, 3.9391865730285645, 4.105699062347412, 4.181707859039307, 4.219988107681274, 4.238502025604248, 4.2481701374053955, 4.252628564834595, 4.2551679611206055, 4.256102561950684]","[nan, 10.144856214523315, 10.144856214523315, 10.144856214523315, 10.144856214523315, 10.144856214523315, 10.144856214523315, 10.144856214523315, 10.144856214523315, 10.144856214523315, 10.144856214523315]","[nan, 0.005922555923461914, 0.013864278793334961, 0.02299332618713379, 0.03000783920288086, 0.03227829933166504, 0.03423738479614258]","[nan, 0.014769554138183594, 1.010364055633545, 4.943013668060303, 10.580475091934204, 10.580475091934204]","[nan, 9.945393085479736, 9.946379899978638, 9.946813821792603, 9.947664976119995, 9.948065757751465, 9.948878526687622, 9.949281930923462, 9.950118064880371, 9.951334953308105, 10.067520141601562]","[nan, 0.019207000732421875, 0.04030728340148926, 0.06117892265319824, 0.08136630058288574, 0.1011960506439209, 0.23934078216552734, 0.37572193145751953, 0.5277540683746338, 0.6917126178741455, 0.7155170440673828]",mm256_144_240,[],"['', 'split_4', 'split_4']","['', 'down', 'split_16']","['', 'split_8', 'split_8', 'split_4']","['', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up', 'split_16', 'swap_down', 'swap_down']","['', 'split_8', 'split_8', 'split_4']","['', 'swap_down', 'split_8', 'swap_up', 'split_4', 'split_4']","['', 'split_16', 'split_16', 'down', 'swap_up', 'down', 'up', 'down', 'swap_down', 'swap_down']","['', 'split_4', 'swap_down', 'swap_down', 'down', 'split_16', 'swap_up', 'swap_up', 'split_4', 'up', 'up']"
0,mm80_144_208,[20.02557373046875],"[20.025573523881157, 20.63182910133547]","[20.025573523881157, 19.43389187172541, 20.776013803508103]","[20.025573523881157, 19.43389187172541, 20.118300469759493]","[20.025573523881157, 14.664157525129665, 14.664157525129665, 20.025573523881157, 20.025573523881157, 14.664157525129665, 14.664157525129665, 20.025573523881157, 19.35360372184687, 24.055416122879226, 24.168847870489444]","[20.025573523881157, 19.43389187172541, 20.118300469759493]","[20.025573523881157, 14.664157525129665, 14.664157525129665, 20.025573523881157, 19.35360372184687, 24.055416122879226]","[20.025573523881157, 20.025573523881157, 6.105037338626051, 6.105037338626051, 6.105037338626051, 6.533015974284102, 6.500846464383383, 6.533015974284102, 26.370259503004426]","[20.02557373046875, 20.02557373046875, 20.63182830810547, 20.63182830810547, 21.817584991455078, 21.817584991455078, 20.435461044311523, 32.3621711730957, 61.24370574951172, 66.27648162841797, 66.19135284423828]",mm80_144_208,[0.11212277412414551],"[nan, 0.45155906677246094, 0.798933744430542]","[nan, 1.2660102844238281, 1.2662789821624756]","[nan, 2.72084641456604, 3.1493284702301025, 3.357102394104004, 3.4602537155151367, 3.511615753173828, 3.537508010864258, 3.549675941467285, 3.5561912059783936, 3.5591461658477783, 3.5612223148345947]","[nan, 10.011127471923828, 10.011127471923828, 10.011127471923828, 10.011127471923828, 10.011127471923828, 10.011127471923828, 10.011127471923828, 10.011127471923828, 10.011127471923828, 10.011127471923828]","[nan, 0.005723714828491211, 0.012755393981933594, 0.020650863647460938, 0.024886131286621094, 0.027608633041381836, 0.02967977523803711]","[nan, 0.012985467910766602, 0.3844900131225586, 2.075359344482422, 10.48566484451294, 10.48566484451294]","[nan, 9.713647603988647, 9.71455192565918, 9.715482711791992, 9.716388702392578, 9.829779148101807, 9.830760717391968, 9.944915294647217, 9.945947408676147, 9.94643259048462, 9.947274446487427]","[nan, 0.01170969009399414, 0.032198190689086914, 0.05255866050720215, 0.07297134399414062, 0.09274578094482422, 0.22462701797485352, 0.35747265815734863, 0.5058045387268066, 0.6552693843841553, 0.8139595985412598]",mm80_144_208,[],"['', 'split_4']","['', 'split_8', 'split_4']","['', 'split_8', 'split_8']","['', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'split_8', 'swap_up', 'split_4']","['', 'split_8', 'split_8']","['', 'swap_down', 'up', 'swap_down', 'split_8', 'swap_up']","['', 'down', 'swap_down', 'up', 'up', 'swap_down', 'swap_down', 'swap_up', 'split_8']","['', 'split_4', 'swap_down', 'swap_down', 'down', 'split_16', 'swap_up', 'swap_up', 'swap_up', 'split_8', 'up']"
0,mm96_112_64,[93.21070098876953],[93.21070098205216],"[93.21070098205216, 93.21070098205216, 99.08250539956802]",[93.21070098205216],"[93.21070098205216, 14.837379792142826, 14.837379792142826, 93.21070098205216, 93.21070098205216, 14.837379792142826, 14.837379792142826, 93.21070098205216, 90.69829972321075, 93.12240341024426, 98.54331949019046]",[93.21070098205216],"[93.21070098205216, 83.03704597562447, 83.03704597562447, 96.2753410283316]","[93.21070098205216, 93.21070098205216, 99.08250539956802]","[93.21070098876953, 93.21070098876953, 93.21070098876953, 93.21070098876953, 93.21070098876953, 93.21070098876953, 93.21070098876953, 93.21070098876953, 93.21070098876953, 93.21070098876953, 93.21070098876953]",mm96_112_64,[0.1175227165222168],"[nan, 0.3529524803161621]","[nan, 1.2061259746551514, 1.2063236236572266]","[nan, 3.0489635467529297, 3.504642963409424, 3.7113351821899414, 3.8151369094848633, 3.8663461208343506, 3.89284348487854, 3.905507802963257, 3.9122843742370605, 3.914970636367798, 3.9169960021972656]","[nan, 10.404767751693726, 10.404767751693726, 10.404767751693726, 10.404767751693726, 10.404767751693726, 10.404767751693726, 10.404767751693726, 10.404767751693726, 10.404767751693726, 10.404767751693726]","[nan, 0.00536036491394043, 0.01226186752319336, 0.01930379867553711, 0.023514747619628906, 0.026047706604003906, 0.027950763702392578]","[nan, 0.012298107147216797, 0.0423274040222168, 0.2392127513885498, 10.619235754013062, 10.619235754013062]","[nan, 9.806824207305908, 9.807780265808105, 9.808543682098389, 9.80942988395691, 9.92141604423523, 9.922409772872925, 9.922804594039917, 9.92369818687439, 10.037184715270996, 10.037184715270996]","[nan, 0.014089584350585938, 0.03487420082092285, 0.05521368980407715, 0.07529091835021973, 0.09549832344055176, 0.11584639549255371, 0.13606595993041992, 0.15613532066345215, 0.17619037628173828, 0.1961669921875]",mm96_112_64,[],[''],"['', 'down', 'split_16']",[''],"['', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'split_8', 'split_8', 'swap_up']",[''],"['', 'split_8', 'swap_down', 'split_8']","['', 'down', 'split_16']","['', 'swap_up', 'swap_up', 'swap_up', 'swap_up', 'swap_up', 'swap_up', 'swap_up', 'swap_up', 'swap_up', 'swap_up']"
