,benchmark,numpy,tvm_base,+tvm_blocking,+tvm_permutation,+tvm_vectorization,auto_tvm
0,mm240_80_96,5.8305859565734865e-05,0.0016756990000000001,9.3264e-05,5.51526e-05,8.4873e-05,0.00015052099999999998
1,mm176_256_96,0.00012137606274336576,0.005671804,0.0002445117,0.0001308775,0.0002326916,0.00035656399999999997
2,mm192_112_80,5.258439108729362e-05,0.001842621,0.0012754773,0.0012945486000000002,0.0012705383,0.000143411
3,mm128_208_144,0.00011531759984791279,0.004852595,0.002582121,0.0024449795000000005,0.0025930881,0.000308624
4,mm256_144_240,0.00022858627140522004,0.010299184999999999,0.0058940402,0.005470215499999999,0.0057672849,0.000557223
5,mm208_96_192,0.00010789965745061636,0.00380906,0.0002379362,0.0001299187,0.0002404823,0.00030341200000000003
6,mm80_144_208,7.579480297863484e-05,0.002783535,0.0020519567,0.0015917293999999998,0.0020609798000000004,0.000236391
7,mm224_112_128,9.119078051298856e-05,0.00381792,0.00012310069999999998,7.02294e-05,0.0001248237,0.000214311
8,mm96_112_64,2.4597416631877424e-05,0.000721334,2.86722e-05,1.5374e-05,2.97061e-05,5.4740999999999996e-05
9,mm240_144_112,0.00010669565759599209,0.004526474,0.0026117007,0.0025655124,0.0026091417,0.000301524
