,benchmark,base,greedy1_ln,greedy2_ln,benchmark,base,greedy1_ln,greedy2_ln,benchmark,base,greedy1_ln,greedy2_ln
0,benchmark://mm64_256_16_range-v0/mm64_64_64,34.91994094848633,88.38301086425781,,benchmark://mm64_256_16_range-v0/mm64_64_64,0.11057353019714355,1.9198381900787354,3.2014424800872803,benchmark://mm64_256_16_range-v0/mm64_64_64,,"['down', 'split_8', 'split_4', 'swap_up', 'down', 'up', 'down', 'up', 'down', 'up']",failed
0,benchmark://mm64_256_16_range-v0/mm64_64_80,87.4046401977539,,,benchmark://mm64_256_16_range-v0/mm64_64_80,0.35024237632751465,3.201427698135376,3.201406717300415,benchmark://mm64_256_16_range-v0/mm64_64_80,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_64_96,87.2359390258789,,,benchmark://mm64_256_16_range-v0/mm64_64_96,0.3576822280883789,3.2014176845550537,3.201430082321167,benchmark://mm64_256_16_range-v0/mm64_64_96,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_64_112,84.42252349853516,85.74803924560547,,benchmark://mm64_256_16_range-v0/mm64_64_112,0.4813203811645508,2.850065231323242,3.2014222145080566,benchmark://mm64_256_16_range-v0/mm64_64_112,,"['split_16', 'split_4', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up']",failed
0,benchmark://mm64_256_16_range-v0/mm64_64_128,81.07128143310547,,,benchmark://mm64_256_16_range-v0/mm64_64_128,0.4795849323272705,3.2013986110687256,3.2014224529266357,benchmark://mm64_256_16_range-v0/mm64_64_128,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_64_144,47.674102783203125,,,benchmark://mm64_256_16_range-v0/mm64_64_144,0.5308268070220947,3.201420545578003,3.201425075531006,benchmark://mm64_256_16_range-v0/mm64_64_144,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_64_160,46.552066802978516,,,benchmark://mm64_256_16_range-v0/mm64_64_160,0.664515495300293,3.2014083862304688,3.2014100551605225,benchmark://mm64_256_16_range-v0/mm64_64_160,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_64_176,44.399715423583984,,,benchmark://mm64_256_16_range-v0/mm64_64_176,0.8858404159545898,3.201416254043579,3.201383352279663,benchmark://mm64_256_16_range-v0/mm64_64_176,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_64_192,48.826995849609375,,,benchmark://mm64_256_16_range-v0/mm64_64_192,1.2113370895385742,3.2014336585998535,3.2013797760009766,benchmark://mm64_256_16_range-v0/mm64_64_192,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_64_208,31.173933029174805,,,benchmark://mm64_256_16_range-v0/mm64_64_208,1.078329086303711,3.2014007568359375,3.201404333114624,benchmark://mm64_256_16_range-v0/mm64_64_208,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_64_224,31.2017822265625,,,benchmark://mm64_256_16_range-v0/mm64_64_224,0.8007161617279053,3.2014076709747314,3.201397180557251,benchmark://mm64_256_16_range-v0/mm64_64_224,,failed,failed
